record_id,campaign_date,campaign_id,campaign_name,channel,campaign_type,region,audience_segment,device,impressions,clicks,conversions,spend_usd,revenue_usd
REC-002107,2025-07-07,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Europe,Students & Young Professionals,Mobile,11967,857,56,129.03,3959.58
REC-003026,2025-09-25,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Small Business Owners,Mobile,42387,386,4,289.71,522.69
REC-001925,2025-06-20,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,MENA,Students & Young Professionals,Mobile,11937,731,33,863.02,2637.3
REC-002125,2025-07-09,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Asia-Pacific,Small Business Owners,Mobile,11567,296,8,313.25,1238.38
REC-002978,2025-09-21,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,North America,Returning Customers,Mobile,38051,173,2,150.05,162.43
REC-001499,2025-05-10,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Europe,Small Business Owners,Desktop,18478,151,2,177.35,259.52
REC-000751,2025-03-07,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Asia-Pacific,Returning Customers,Mobile,15364,269,6,227.92,738.83
REC-002790,2025-09-06,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,North America,Small Business Owners,Mobile,31542,725,27,868.95,4046.08
REC-001308,2025-04-24,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Europe,Returning Customers,Mobile,24664,463,19,522.44,2295.6
REC-001026,2025-03-31,CAMP-017,Product Demo Views,YouTube Ads,Product Education,North America,Small Business Owners,Desktop,42081,316,8,245.55,1189.6
REC-005211,2026-04-02,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,Small Business Owners,Mobile,39699,185,1,103.21,63.74
REC-005257,2026-04-06,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Latin America,New Customers,Mobile,38910,878,13,585.13,1235.25
REC-004040,2025-12-19,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Europe,Small Business Owners,Desktop,14345,106,5,90.51,911.24
REC-004765,2026-02-19,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,MENA,Enterprise Decision Makers,Desktop,4930,46,2,289.36,275.03
REC-004798,2026-02-22,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Europe,Returning Customers,Desktop,2357,26,3,150.81,646.38
REC-005309,2026-04-10,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,MENA,New Customers,Desktop,14233,132,3,108.35,248.27
REC-004795,2026-02-22,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,North America,Small Business Owners,Mobile,9329,364,16,812.93,1456.81
