"record_id","campaign_id","campaign_name","campaign_date","month_start","campaign_year","campaign_month_number","campaign_month_name","year_month","campaign_quarter","channel","campaign_type","region","audience_segment","device","impressions","clicks","conversions","spend_usd","revenue_usd","profit_usd","row_profit_margin_percentage"
"REC-000001","CAMP-017","Product Demo Views","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Product Education","MENA","Small Business Owners","Desktop",33482,225,7,181.30,1192.55,1011.25,84.80
"REC-000002","CAMP-017","Product Demo Views","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Product Education","Europe","Small Business Owners","Desktop",12488,95,3,87.84,410.68,322.84,78.61
"REC-000003","CAMP-004","Social Scale Prospecting","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","Europe","Returning Customers","Mobile",12438,297,11,287.23,1133.25,846.02,74.65
"REC-000004","CAMP-004","Social Scale Prospecting","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","Asia-Pacific","Enterprise Decision Makers","Mobile",17660,381,20,357.34,5017.28,4659.94,92.88
"REC-000005","CAMP-016","Video Reach Accelerator","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","Europe","Returning Customers","Mobile",19964,128,2,122.57,178.45,55.88,31.31
"REC-000006","CAMP-014","Win Back Customers","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Reactivation","Europe","New Customers","Mobile",5552,491,49,76.55,5493.64,5417.09,98.61
"REC-000007","CAMP-014","Win Back Customers","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Reactivation","Europe","New Customers","Mobile",14417,1449,150,167.67,19700.16,19532.49,99.15
"REC-000008","CAMP-020","Creator Partnership Series","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Asia-Pacific","Enterprise Decision Makers","Desktop",48104,1119,62,1345.12,13911.04,12565.92,90.33
"REC-000009","CAMP-020","Creator Partnership Series","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Latin America","Small Business Owners","Desktop",17036,411,18,324.57,3022.91,2698.34,89.26
"REC-000010","CAMP-007","B2B Decision Makers","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","North America","Enterprise Decision Makers","Mobile",8206,150,17,819.90,6194.09,5374.19,86.76
"REC-000011","CAMP-012","Youth Engagement Sprint","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Engagement","North America","Small Business Owners","Mobile",13060,206,5,194.24,539.90,345.66,64.02
"REC-000012","CAMP-021","Micro Creator Conversion","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Asia-Pacific","Enterprise Decision Makers","Desktop",33245,995,55,885.20,15619.33,14734.13,94.33
"REC-000013","CAMP-021","Micro Creator Conversion","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Europe","New Customers","Mobile",39519,1700,38,1262.01,3504.37,2242.36,63.99
"REC-000014","CAMP-019","Display Retargeting Loop","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Retargeting","MENA","New Customers","Mobile",16806,119,2,60.49,224.58,164.09,73.07
"REC-000015","CAMP-019","Display Retargeting Loop","2025-01-01","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Retargeting","North America","Returning Customers","Tablet",17408,128,4,99.69,522.86,423.17,80.93
"REC-000016","CAMP-002","Brand Demand Capture","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Brand Awareness","MENA","Small Business Owners","Mobile",13665,535,22,893.17,1933.06,1039.89,53.80
"REC-000017","CAMP-002","Brand Demand Capture","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Brand Awareness","MENA","Students & Young Professionals","Mobile",4557,184,5,245.16,246.25,1.09,0.44
"REC-000018","CAMP-016","Video Reach Accelerator","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","Asia-Pacific","Small Business Owners","Desktop",31272,215,4,178.15,402.60,224.45,55.75
"REC-000019","CAMP-016","Video Reach Accelerator","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","Europe","Students & Young Professionals","Tablet",8416,47,1,65.66,43.78,-21.88,-49.98
"REC-000020","CAMP-014","Win Back Customers","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Reactivation","North America","New Customers","Desktop",9823,624,135,105.72,13544.68,13438.96,99.22
"REC-000021","CAMP-007","B2B Decision Makers","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","North America","New Customers","Desktop",1589,32,2,224.98,227.47,2.49,1.09
"REC-000022","CAMP-024","Mobile App Acquisition","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","Europe","New Customers","Tablet",12457,364,17,728.78,1131.45,402.67,35.59
"REC-000023","CAMP-009","Startup Founder Leads","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","MENA","New Customers","Desktop",7865,136,13,557.76,1815.99,1258.23,69.29
"REC-000024","CAMP-009","Startup Founder Leads","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","North America","Returning Customers","Mobile",5248,94,11,631.60,2088.71,1457.11,69.76
"REC-000025","CAMP-023","Enterprise Pipeline Builder","2025-01-02","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","North America","Students & Young Professionals","Mobile",2302,41,2,306.03,204.22,-101.81,-49.85
"REC-000026","CAMP-004","Social Scale Prospecting","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","Europe","Unknown","Mobile",22958,486,16,458.56,2468.35,2009.79,81.42
"REC-000027","CAMP-004","Social Scale Prospecting","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","Europe","New Customers","Mobile",22083,350,10,399.26,1110.37,711.11,64.04
"REC-000028","CAMP-021","Micro Creator Conversion","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Asia-Pacific","New Customers","Tablet",10771,219,4,208.32,329.37,121.05,36.75
"REC-000029","CAMP-007","B2B Decision Makers","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Latin America","Small Business Owners","Tablet",3722,50,5,200.61,743.18,542.57,73.01
"REC-000030","CAMP-010","Short Video Discovery","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","MENA","New Customers","Desktop",13888,193,4,163.48,440.64,277.16,62.90
"REC-000031","CAMP-008","Executive Thought Leadership","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","North America","Students & Young Professionals","Desktop",1095,10,1,104.63,32.04,-72.59,-226.56
"REC-000032","CAMP-008","Executive Thought Leadership","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","Asia-Pacific","Students & Young Professionals","Desktop",2360,18,1,142.68,31.55,-111.13,-352.23
"REC-000033","CAMP-015","Monthly Product Digest","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","MENA","Returning Customers","Mobile",5582,272,25,66.02,3095.31,3029.29,97.87
"REC-000034","CAMP-016","Video Reach Accelerator","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","MENA","New Customers","Mobile",13416,122,0,126.43,0.00,-126.43,NULL
"REC-000035","CAMP-016","Video Reach Accelerator","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","Europe","New Customers","Desktop",12360,96,0,115.98,0.00,-115.98,NULL
"REC-000036","CAMP-013","Lifecycle Nurture","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","North America","Small Business Owners","Mobile",9054,472,56,98.80,6941.43,6842.63,98.58
